entity_id,state,last_changed
sensor.current_2,8.134,2026-04-23T10:00:00.000Z
sensor.current_2,8.122,2026-04-23T10:00:03.231Z
sensor.current_2,8.134,2026-04-23T10:00:09.248Z
sensor.current_2,6.699,2026-04-23T10:00:15.312Z
sensor.current_2,8.090,2026-04-23T10:00:21.447Z
sensor.current_2,8.158,2026-04-23T10:00:27.449Z
sensor.current_2,7.268,2026-04-23T10:00:33.449Z
sensor.current_2,4.932,2026-04-23T10:00:39.235Z
sensor.current_2,2.739,2026-04-23T10:00:45.235Z
sensor.current_2,1.411,2026-04-23T10:00:51.236Z
sensor.current_2,2.525,2026-04-23T10:00:57.236Z
sensor.current_2,5.134,2026-04-23T10:01:03.233Z
sensor.current_2,6.628,2026-04-23T10:01:09.238Z
sensor.current_2,7.826,2026-04-23T10:01:15.237Z
sensor.current_2,5.454,2026-04-23T10:01:21.234Z
sensor.current_2,3.094,2026-04-23T10:01:27.285Z
sensor.current_2,0.687,2026-04-23T10:01:33.230Z
sensor.current_2,0.035,2026-04-23T10:01:39.231Z
sensor.current_2,1.648,2026-04-23T10:01:45.230Z
sensor.current_2,4.079,2026-04-23T10:01:51.258Z
sensor.current_2,7.138,2026-04-23T10:01:57.238Z
sensor.current_2,5.952,2026-04-23T10:02:03.227Z
sensor.current_2,3.569,2026-04-23T10:02:09.229Z
sensor.current_2,1.185,2026-04-23T10:02:15.278Z
sensor.current_2,0.035,2026-04-23T10:02:21.227Z
sensor.current_2,1.256,2026-04-23T10:02:27.238Z
sensor.current_2,3.403,2026-04-23T10:02:33.238Z
sensor.current_2,5.798,2026-04-23T10:02:39.235Z
sensor.current_2,6.201,2026-04-23T10:02:45.227Z
sensor.current_2,4.126,2026-04-23T10:02:51.278Z
sensor.current_2,1.754,2026-04-23T10:02:57.286Z
sensor.current_2,0.023,2026-04-23T10:03:03.232Z
sensor.current_2,0.272,2026-04-23T10:03:09.227Z
sensor.current_2,2.039,2026-04-23T10:03:15.229Z
sensor.current_2,4.695,2026-04-23T10:03:21.275Z
sensor.current_2,5.632,2026-04-23T10:03:27.298Z
sensor.current_2,4.624,2026-04-23T10:03:33.290Z
sensor.current_2,2.335,2026-04-23T10:03:39.239Z
sensor.current_2,0.070,2026-04-23T10:03:45.228Z
sensor.current_2,0.035,2026-04-23T10:03:51.256Z
sensor.current_2,1.173,2026-04-23T10:03:57.227Z
sensor.current_2,3.284,2026-04-23T10:04:03.233Z
sensor.current_2,4.837,2026-04-23T10:04:09.281Z
sensor.current_2,4.743,2026-04-23T10:04:15.233Z
sensor.current_2,2.798,2026-04-23T10:04:21.229Z
sensor.current_2,0.462,2026-04-23T10:04:27.231Z
sensor.current_2,0.011,2026-04-23T10:04:33.298Z
sensor.current_2,0.059,2026-04-23T10:04:39.286Z
sensor.current_2,1.920,2026-04-23T10:04:45.236Z
sensor.current_2,4.162,2026-04-23T10:04:51.241Z
sensor.current_2,3.996,2026-04-23T10:04:57.230Z
sensor.current_2,3.391,2026-04-23T10:05:03.278Z
sensor.current_2,0.984,2026-04-23T10:05:09.287Z
sensor.current_2,0.011,2026-04-23T10:05:15.232Z
sensor.current_2,0.035,2026-04-23T10:05:21.229Z
sensor.current_2,0.711,2026-04-23T10:05:27.234Z
sensor.current_2,2.952,2026-04-23T10:05:33.231Z
sensor.current_2,3.415,2026-04-23T10:05:39.244Z
sensor.current_2,3.462,2026-04-23T10:05:45.232Z
sensor.current_2,1.517,2026-04-23T10:05:51.230Z
sensor.current_2,0.023,2026-04-23T10:05:57.242Z
sensor.current_2,0.035,2026-04-23T10:06:05.229Z
sensor.current_2,0.782,2026-04-23T10:06:11.229Z
sensor.current_2,3.130,2026-04-23T10:06:17.234Z
sensor.current_2,3.545,2026-04-23T10:06:23.230Z
sensor.current_2,3.249,2026-04-23T10:06:29.230Z
sensor.current_2,1.304,2026-04-23T10:06:35.233Z
sensor.current_2,0.023,2026-04-23T10:06:41.236Z
sensor.current_2,0.035,2026-04-23T10:06:49.232Z
sensor.current_2,0.913,2026-04-23T10:06:55.241Z
sensor.current_2,3.094,2026-04-23T10:07:01.235Z
sensor.current_2,3.142,2026-04-23T10:07:07.237Z
sensor.current_2,3.130,2026-04-23T10:07:13.233Z
sensor.current_2,0.984,2026-04-23T10:07:19.228Z
sensor.current_2,0.011,2026-04-23T10:07:25.230Z
sensor.current_2,0.035,2026-04-23T10:07:31.228Z
sensor.current_2,0.450,2026-04-23T10:07:37.232Z
sensor.current_2,2.739,2026-04-23T10:07:43.323Z
sensor.current_2,3.213,2026-04-23T10:07:49.236Z
sensor.current_2,3.130,2026-04-23T10:07:55.235Z
sensor.current_2,1.505,2026-04-23T10:08:01.233Z
sensor.current_2,0.011,2026-04-23T10:08:07.239Z
sensor.current_2,0.023,2026-04-23T10:08:13.265Z
sensor.current_2,0.094,2026-04-23T10:08:19.234Z
sensor.current_2,2.478,2026-04-23T10:08:25.257Z
sensor.current_2,3.343,2026-04-23T10:08:31.227Z
sensor.current_2,3.260,2026-04-23T10:08:37.234Z
sensor.current_2,2.086,2026-04-23T10:08:43.294Z
sensor.current_2,0.011,2026-04-23T10:08:49.231Z
sensor.current_2,0.035,2026-04-23T10:08:57.234Z
sensor.current_2,0.177,2026-04-23T10:09:03.243Z
sensor.current_2,2.573,2026-04-23T10:09:09.229Z
sensor.current_2,3.011,2026-04-23T10:09:15.234Z
sensor.current_2,3.403,2026-04-23T10:09:21.247Z
sensor.current_2,1.778,2026-04-23T10:09:27.246Z
