entity_id,state,last_changed
sensor.current_2,0.118,2026-04-24T02:00:00.000Z
sensor.current_2,0.130,2026-04-24T02:00:10.359Z
sensor.current_2,0.118,2026-04-24T02:00:16.354Z
sensor.current_2,0.130,2026-04-24T02:00:32.344Z
sensor.current_2,0.118,2026-04-24T02:00:38.346Z
sensor.current_2,0.130,2026-04-24T02:01:14.349Z
sensor.current_2,0.118,2026-04-24T02:01:20.346Z
sensor.current_2,0.130,2026-04-24T02:01:26.347Z
sensor.current_2,0.118,2026-04-24T02:01:32.353Z
sensor.current_2,0.130,2026-04-24T02:01:40.346Z
sensor.current_2,0.118,2026-04-24T02:01:46.344Z
sensor.current_2,0.130,2026-04-24T02:01:58.357Z
sensor.current_2,0.118,2026-04-24T02:02:06.360Z
sensor.current_2,0.130,2026-04-24T02:02:14.354Z
sensor.current_2,0.118,2026-04-24T02:02:20.347Z
sensor.current_2,0.130,2026-04-24T02:02:28.349Z
sensor.current_2,0.118,2026-04-24T02:02:34.348Z
sensor.current_2,0.106,2026-04-24T02:03:32.345Z
sensor.current_2,0.118,2026-04-24T02:03:38.345Z
sensor.current_2,0.106,2026-04-24T02:05:02.343Z
sensor.current_2,0.130,2026-04-24T02:05:08.346Z
sensor.current_2,0.118,2026-04-24T02:05:14.353Z
sensor.current_2,0.130,2026-04-24T02:05:26.356Z
sensor.current_2,0.118,2026-04-24T02:05:32.366Z
sensor.current_2,0.106,2026-04-24T02:06:20.345Z
sensor.current_2,0.118,2026-04-24T02:06:26.342Z
sensor.current_2,0.130,2026-04-24T02:07:10.344Z
sensor.current_2,0.118,2026-04-24T02:07:16.347Z
sensor.current_2,0.130,2026-04-24T02:07:34.347Z
sensor.current_2,0.118,2026-04-24T02:07:40.343Z
sensor.current_2,0.130,2026-04-24T02:07:50.343Z
sensor.current_2,0.118,2026-04-24T02:07:56.348Z
sensor.current_2,0.130,2026-04-24T02:08:08.345Z
sensor.current_2,0.118,2026-04-24T02:08:14.345Z
sensor.current_2,0.130,2026-04-24T02:08:50.358Z
sensor.current_2,0.118,2026-04-24T02:08:56.563Z
sensor.current_2,0.130,2026-04-24T02:09:44.343Z
sensor.current_2,0.118,2026-04-24T02:09:50.341Z
sensor.current_2,0.130,2026-04-24T02:11:40.342Z
sensor.current_2,0.118,2026-04-24T02:11:46.343Z
sensor.current_2,0.130,2026-04-24T02:12:08.343Z
sensor.current_2,0.118,2026-04-24T02:12:14.368Z
sensor.current_2,0.130,2026-04-24T02:12:38.345Z
sensor.current_2,0.118,2026-04-24T02:12:44.342Z
sensor.current_2,0.130,2026-04-24T02:13:20.342Z
sensor.current_2,0.118,2026-04-24T02:13:26.350Z
sensor.current_2,0.130,2026-04-24T02:13:50.344Z
sensor.current_2,0.118,2026-04-24T02:13:56.340Z
sensor.current_2,0.130,2026-04-24T02:14:08.341Z
sensor.current_2,0.118,2026-04-24T02:14:14.356Z
sensor.current_2,0.130,2026-04-24T02:15:06.350Z
sensor.current_2,0.118,2026-04-24T02:15:12.348Z
sensor.current_2,0.130,2026-04-24T02:15:52.348Z
sensor.current_2,0.118,2026-04-24T02:15:58.342Z
sensor.current_2,0.130,2026-04-24T02:17:08.346Z
sensor.current_2,0.118,2026-04-24T02:17:14.343Z
sensor.current_2,0.130,2026-04-24T02:18:08.340Z
sensor.current_2,0.118,2026-04-24T02:18:14.370Z
sensor.current_2,0.130,2026-04-24T02:19:02.404Z
sensor.current_2,0.118,2026-04-24T02:19:08.591Z
sensor.current_2,0.130,2026-04-24T02:20:18.342Z
sensor.current_2,0.118,2026-04-24T02:20:24.340Z
sensor.current_2,0.130,2026-04-24T02:21:18.347Z
sensor.current_2,0.118,2026-04-24T02:21:24.358Z
sensor.current_2,0.130,2026-04-24T02:22:16.353Z
sensor.current_2,0.118,2026-04-24T02:22:22.344Z
sensor.current_2,0.130,2026-04-24T02:22:52.350Z
sensor.current_2,0.118,2026-04-24T02:22:58.353Z
sensor.current_2,0.142,2026-04-24T02:23:04.352Z
sensor.current_2,8.845,2026-04-24T02:23:10.341Z
sensor.current_2,8.857,2026-04-24T02:23:22.339Z
sensor.current_2,8.798,2026-04-24T02:23:32.342Z
sensor.current_2,8.875,2026-04-24T02:23:38.352Z
sensor.current_2,8.857,2026-04-24T02:23:44.338Z
sensor.current_2,8.845,2026-04-24T02:23:50.344Z
sensor.current_2,8.750,2026-04-24T02:24:02.345Z
sensor.current_2,8.845,2026-04-24T02:24:08.342Z
sensor.current_2,0.130,2026-04-24T02:24:14.354Z
sensor.current_2,0.142,2026-04-24T02:25:02.344Z
sensor.current_2,0.130,2026-04-24T02:25:08.342Z
sensor.current_2,0.142,2026-04-24T02:25:30.349Z
sensor.current_2,0.130,2026-04-24T02:25:36.341Z
sensor.current_2,0.142,2026-04-24T02:26:06.348Z
sensor.current_2,0.130,2026-04-24T02:26:12.339Z
